created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 12:20:42 +0000 2023;1724764359195505006;"🤔!! SHOWING UR COLOURS AS A MUSLIM !! HEHEHE!!  Coldplay concert timing deemed insensitive amid Palestine humanitarian crisis https://t.co/ekvUzEo1HQ";0;0;0;0;en;323676845;1724764359195505006;mchin47;https://twitter.com/mchin47/status/1724764359195505006
Wed Nov 15 12:17:08 +0000 2023;1724763459794137422;"Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support https://t.co/adpEcBLmTI";0;0;0;0;en;23788966;1724763459794137422;TALK1370;https://twitter.com/TALK1370/status/1724763459794137422
Wed Nov 15 12:15:49 +0000 2023;1724763128821686588;"Whoa I guess more trains are operated than usual because of Coldplay concert lol The interval was shorter, so I got home faster 🤭";0;0;0;0;en;140000489;1724763128821686588;sillysone;https://twitter.com/sillysone/status/1724763128821686588
Wed Nov 15 12:13:42 +0000 2023;1724762597537563126;"@Beckixsmith1 Thank you! I’m off to Perth (which is on the other side of the country for me), going to the Coldplay concert this weekend 🥳";0;1;0;0;en;1580096701536538624;1724690979960299990;blangeroaks;https://twitter.com/blangeroaks/status/1724762597537563126
Wed Nov 15 12:08:22 +0000 2023;1724761256169808310;"coldplay came and its concert venue is almost right across my ofice tower add anti lgbt demonstration  imagine the traffic";0;1;0;0;en;382982579;1724761256169808310;chaos_aurelius;https://twitter.com/chaos_aurelius/status/1724761256169808310
Wed Nov 15 12:05:52 +0000 2023;1724760625279390004;"Breathing the same pollution as Coldplay rn and can’t attend the concert bc of work 🥲";0;1;0;0;en;235428722;1724760625279390004;kimtaebiebs;https://twitter.com/kimtaebiebs/status/1724760625279390004
Wed Nov 15 11:52:42 +0000 2023;1724757311783387311;"Jakarta, a city not known for the efficient flow of its motor vehicle traffic, is attempting to host tonight a meeting of eighteen Asian defense ministers and their motorcades alongside a Coldplay concert which has turned into a once-in-a-decade national cultural event.";22;6;98;464;en;23172839;1724757311783387311;ConnellyAL;https://twitter.com/ConnellyAL/status/1724757311783387311
Wed Nov 15 11:37:43 +0000 2023;1724753541515087922;"@IDWantsColdplay @coldplay Hi, I am from Taiwan. Could you please picture &amp  share the recycled rate on the screen today in the concert? Wish you all have an amazing night✨";0;0;0;5;en;1445256098194223105;1724687400537113031;Tina225Su;https://twitter.com/Tina225Su/status/1724753541515087922
Wed Nov 15 11:31:30 +0000 2023;1724751978285486251;"Coldplay are doing a concert here in Perth on Saturday, thankfully I leave on Friday 😎😎";0;0;0;2;en;1034749525846622208;1724751978285486251;DavidBastin12;https://twitter.com/DavidBastin12/status/1724751978285486251
Wed Nov 15 11:24:25 +0000 2023;1724750193197986215;"we’re going to coldplay concert!✨💖 https://t.co/AqlDRDUK4N";0;1;0;1;en;1612690915717689345;1724750193197986215;loeyofmalife;https://twitter.com/loeyofmalife/status/1724750193197986215
Wed Nov 15 11:23:58 +0000 2023;1724750082233586173;"So sad but not to sad knowing Coldplay concert rn in jkt 🙃";0;0;0;0;en;1250056233593208832;1724750082233586173;ananeste;https://twitter.com/ananeste/status/1724750082233586173
Wed Nov 15 11:20:00 +0000 2023;1724749082822897966;"Two concerts held by British rock band #Coldplay at the Kaohsiung World Games Stadium over the past weekend attracted more than 170,000 fans and generated about NT$550 million (US$17.19 million) in revenue for the southern Taiwan port city.https://t.co/irgdyGAHkO https://t.co/Yh71beephD";0;0;3;15;en;60514666;1724749082822897966;Focus_Taiwan;https://twitter.com/Focus_Taiwan/status/1724749082822897966
Wed Nov 15 11:17:26 +0000 2023;1724748439169401267;"Sending all my positive vibes and best wishes to @coldplay for their Jakarta 2023 concert! 🤩✨ May the music of "Music of the Spheres" fill the air with magic and joy! #NambiarAdarshNarayananPV #ColdplayJakarta2023 #MusicOfTheSpheresWorldTour #musicOFTheSpheres https://t.co/ciTwcok5Lg";0;0;0;0;en;1892135120;1724748439169401267;NaAdarshNaPV;https://twitter.com/NaAdarshNaPV/status/1724748439169401267
Wed Nov 15 11:14:40 +0000 2023;1724747740817859039;"Another exhausting day, karena ada event kantor pas coldplay concert day. https://t.co/6tcC6GE6cF";0;13;3;220;en;1676964889599029249;1724747740817859039;kugi_gitkamuya;https://twitter.com/kugi_gitkamuya/status/1724747740817859039
Wed Nov 15 11:14:28 +0000 2023;1724747690607808934;"I've been in the car for 3 hours the traffic cuz of Coldplay concert is crazy";0;0;0;0;en;1533963865222189056;1724747690607808934;ella_1024;https://twitter.com/ella_1024/status/1724747690607808934
